input,output
Urea,"['name: Urea', 'molecularFormula: CH₄N₂O', 'molarMass: 60.06', 'boilingPoint: Decomposes before boiling', 'meltingPoint: 133-135', 'waterSolubility: Soluble', 'biodegradability: Readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: 1.32', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Vanillin,"['name: Vanillin', 'molecularFormula: C₈H₈O₃', 'molarMass: 152.15', 'boilingPoint: 285', 'meltingPoint: 81-83', 'waterSolubility: ~2 g/100 mL', 'biodegradability: Readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: 1.06', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Vinyl Chloride,"['name: Vinyl Chloride', 'molecularFormula: C₂H₃Cl', 'molarMass: 62.5', 'boilingPoint: -13.4', 'meltingPoint: -153.7', 'waterSolubility: 0.25', 'biodegradability: Readily biodegradable', 'flammability: Flammable', 'corrosivity: Non-corrosive', 'density: 0.911', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Water,"['name: Water', 'molecularFormula: H₂O', 'molarMass: 18.02', 'boilingPoint: 100', 'meltingPoint: 0', 'waterSolubility: Soluble', 'biodegradability: N/A (does not biodegrade)', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: 1', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Xylene,"['name: Xylene', 'molecularFormula: C₈H₁₀', 'molarMass: 106.16', 'boilingPoint: 138-144', 'meltingPoint: -47.87', 'waterSolubility: Insoluble', 'biodegradability: Readily biodegradable', 'flammability: Flammable', 'corrosivity: Non-corrosive', 'density: 0.86', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Hydrogen,"['Symbol: H', 'Atomic_Number: 1', 'Atomic_Weight: 1.00794', 'Density: 0.0899', 'Melting_Point: 14.01', 'Boiling_Point: 20.28', 'Phase: Gas', 'Absolute_Melting_Point: 14.01']"
Helium,"['Symbol: He', 'Atomic_Number: 2', 'Atomic_Weight: 4.002602', 'Density: 0.1785', 'Melting_Point: ', 'Boiling_Point: 4.21999999999997', 'Phase: Gas', 'Absolute_Melting_Point: ']"
Lithium,"['Symbol: Li', 'Atomic_Number: 3', 'Atomic_Weight: 6.941', 'Density: 535', 'Melting_Point: 453.69', 'Boiling_Point: 1615.15', 'Phase: Solid', 'Absolute_Melting_Point: 453.69']"
Beryllium,"['Symbol: Be', 'Atomic_Number: 4', 'Atomic_Weight: 9.012182', 'Density: 1848', 'Melting_Point: 1560.15', 'Boiling_Point: 2743.15', 'Phase: Solid', 'Absolute_Melting_Point: 1560']"
Boron,"['Symbol: B', 'Atomic_Number: 5', 'Atomic_Weight: 10.811', 'Density: 2460', 'Melting_Point: 2348.15', 'Boiling_Point: 4273.15', 'Phase: Solid', 'Absolute_Melting_Point: 2348']"
Carbon,"['Symbol: C', 'Atomic_Number: 6', 'Atomic_Weight: 12.0107', 'Density: 2260', 'Melting_Point: 3823.15', 'Boiling_Point: 4300.15', 'Phase: Solid', 'Absolute_Melting_Point: 3823']"
Nitrogen,"['Symbol: N', 'Atomic_Number: 7', 'Atomic_Weight: 14.0067', 'Density: 1.251', 'Melting_Point: 63.05', 'Boiling_Point: 77.36', 'Phase: Gas', 'Absolute_Melting_Point: 63.05']"
Oxygen,"['Symbol: O', 'Atomic_Number: 8', 'Atomic_Weight: 15.9994', 'Density: 1.429', 'Melting_Point: 54.85', 'Boiling_Point: 90.25', 'Phase: Gas', 'Absolute_Melting_Point: 54.8']"
Fluorine,"['Symbol: F', 'Atomic_Number: 9', 'Atomic_Weight: 18.9984032', 'Density: 1.696', 'Melting_Point: 53.55', 'Boiling_Point: 85.03', 'Phase: Gas', 'Absolute_Melting_Point: 53.5']"
Neon,"['Symbol: Ne', 'Atomic_Number: 10', 'Atomic_Weight: 20.1797', 'Density: 0.9', 'Melting_Point: 24.56', 'Boiling_Point: 27.07', 'Phase: Gas', 'Absolute_Melting_Point: 24.56']"
Sodium,"['Symbol: Na', 'Atomic_Number: 11', 'Atomic_Weight: 22.98977', 'Density: 968', 'Melting_Point: 370.87', 'Boiling_Point: 1156.15', 'Phase: Solid', 'Absolute_Melting_Point: 370.87']"
Magnesium,"['Symbol: Mg', 'Atomic_Number: 12', 'Atomic_Weight: 24.305', 'Density: 1738', 'Melting_Point: 923.15', 'Boiling_Point: 1363.15', 'Phase: Solid', 'Absolute_Melting_Point: 923']"
Aluminum,"['Symbol: Al', 'Atomic_Number: 13', 'Atomic_Weight: 26.981538', 'Density: 2700', 'Melting_Point: 933.47', 'Boiling_Point: 2792.15', 'Phase: Solid', 'Absolute_Melting_Point: 933.47']"
Silicon,"['Symbol: Si', 'Atomic_Number: 14', 'Atomic_Weight: 28.0855', 'Density: 2330', 'Melting_Point: 1687.15', 'Boiling_Point: 3173.15', 'Phase: Solid', 'Absolute_Melting_Point: 1687']"
Phosphorus,"['Symbol: P', 'Atomic_Number: 15', 'Atomic_Weight: 30.973761', 'Density: 1823', 'Melting_Point: 317.35', 'Boiling_Point: 553.65', 'Phase: Solid', 'Absolute_Melting_Point: 317.3']"
Sulfur,"['Symbol: S', 'Atomic_Number: 16', 'Atomic_Weight: 32.065', 'Density: 1960', 'Melting_Point: 388.36', 'Boiling_Point: 717.87', 'Phase: Solid', 'Absolute_Melting_Point: 388.36']"
Chlorine,"['Symbol: Cl', 'Atomic_Number: 17', 'Atomic_Weight: 35.453', 'Density: 3.214', 'Melting_Point: 171.65', 'Boiling_Point: 239.11', 'Phase: Gas', 'Absolute_Melting_Point: 171.6']"
Argon,"['Symbol: Ar', 'Atomic_Number: 18', 'Atomic_Weight: 39.948', 'Density: 1.784', 'Melting_Point: 83.85', 'Boiling_Point: 87.35', 'Phase: Gas', 'Absolute_Melting_Point: 83.8']"
Potassium,"['Symbol: K', 'Atomic_Number: 19', 'Atomic_Weight: 39.0983', 'Density: 856', 'Melting_Point: 336.53', 'Boiling_Point: 1032.15', 'Phase: Solid', 'Absolute_Melting_Point: 336.53']"
Calcium,"['Symbol: Ca', 'Atomic_Number: 20', 'Atomic_Weight: 40.078', 'Density: 1550', 'Melting_Point: 1115.15', 'Boiling_Point: 1757.15', 'Phase: Solid', 'Absolute_Melting_Point: 1115']"
Scandium,"['Symbol: Sc', 'Atomic_Number: 21', 'Atomic_Weight: 44.95591', 'Density: 2985', 'Melting_Point: 1814.15', 'Boiling_Point: 3103.15', 'Phase: Solid', 'Absolute_Melting_Point: 1814']"
Titanium,"['Symbol: Ti', 'Atomic_Number: 22', 'Atomic_Weight: 47.867', 'Density: 4507', 'Melting_Point: 1941.15', 'Boiling_Point: 3560.15', 'Phase: Solid', 'Absolute_Melting_Point: 1941']"
Vanadium,"['Symbol: V', 'Atomic_Number: 23', 'Atomic_Weight: 50.9415', 'Density: 6110', 'Melting_Point: 2183.15', 'Boiling_Point: 3680.15', 'Phase: Solid', 'Absolute_Melting_Point: 2183']"
Chromium,"['Symbol: Cr', 'Atomic_Number: 24', 'Atomic_Weight: 51.9961', 'Density: 7140', 'Melting_Point: 2180.15', 'Boiling_Point: 2944.15', 'Phase: Solid', 'Absolute_Melting_Point: 2180']"
Manganese,"['Symbol: Mn', 'Atomic_Number: 25', 'Atomic_Weight: 54.938049', 'Density: 7470', 'Melting_Point: 1519.15', 'Boiling_Point: 2334.15', 'Phase: Solid', 'Absolute_Melting_Point: 1519']"
Iron,"['Symbol: Fe', 'Atomic_Number: 26', 'Atomic_Weight: 55.845', 'Density: 7874', 'Melting_Point: 1811.15', 'Boiling_Point: 3134.15', 'Phase: Solid', 'Absolute_Melting_Point: 1811']"
Cobalt,"['Symbol: Co', 'Atomic_Number: 27', 'Atomic_Weight: 58.9332', 'Density: 8900', 'Melting_Point: 1768.15', 'Boiling_Point: 3200.15', 'Phase: Solid', 'Absolute_Melting_Point: 1768']"
Nickel,"['Symbol: Ni', 'Atomic_Number: 28', 'Atomic_Weight: 58.6934', 'Density: 8908', 'Melting_Point: 1728.15', 'Boiling_Point: 3186.15', 'Phase: Solid', 'Absolute_Melting_Point: 1728']"
Copper,"['Symbol: Cu', 'Atomic_Number: 29', 'Atomic_Weight: 63.546', 'Density: 8920', 'Melting_Point: 1357.77', 'Boiling_Point: 3200.15', 'Phase: Solid', 'Absolute_Melting_Point: 1357.77']"
Zinc,"['Symbol: Zn', 'Atomic_Number: 30', 'Atomic_Weight: 65.409', 'Density: 7140', 'Melting_Point: 692.68', 'Boiling_Point: 1180.15', 'Phase: Solid', 'Absolute_Melting_Point: 692.68']"
Gallium,"['Symbol: Ga', 'Atomic_Number: 31', 'Atomic_Weight: 69.723', 'Density: 5904', 'Melting_Point: 302.91', 'Boiling_Point: 2477.15', 'Phase: Solid', 'Absolute_Melting_Point: 302.91']"
Germanium,"['Symbol: Ge', 'Atomic_Number: 32', 'Atomic_Weight: 72.64', 'Density: 5323', 'Melting_Point: 1211.45', 'Boiling_Point: 3093.15', 'Phase: Solid', 'Absolute_Melting_Point: 1211.4']"
Arsenic,"['Symbol: As', 'Atomic_Number: 33', 'Atomic_Weight: 74.9216', 'Density: 5727', 'Melting_Point: 1090.15', 'Boiling_Point: 887.15', 'Phase: Solid', 'Absolute_Melting_Point: 1090']"
Selenium,"['Symbol: Se', 'Atomic_Number: 34', 'Atomic_Weight: 78.96', 'Density: 4819', 'Melting_Point: 494.15', 'Boiling_Point: 958.15', 'Phase: Solid', 'Absolute_Melting_Point: 494']"
Bromine,"['Symbol: Br', 'Atomic_Number: 35', 'Atomic_Weight: 79.904', 'Density: 3120', 'Melting_Point: 265.85', 'Boiling_Point: 332.15', 'Phase: Liquid', 'Absolute_Melting_Point: 265.8']"
Krypton,"['Symbol: Kr', 'Atomic_Number: 36', 'Atomic_Weight: 83.798', 'Density: 3.75', 'Melting_Point: 115.79', 'Boiling_Point: 119.93', 'Phase: Gas', 'Absolute_Melting_Point: 115.79']"
Rubidium,"['Symbol: Rb', 'Atomic_Number: 37', 'Atomic_Weight: 85.4678', 'Density: 1532', 'Melting_Point: 312.46', 'Boiling_Point: 961.15', 'Phase: Solid', 'Absolute_Melting_Point: 312.46']"
Strontium,"['Symbol: Sr', 'Atomic_Number: 38', 'Atomic_Weight: 87.62', 'Density: 2630', 'Melting_Point: 1050.15', 'Boiling_Point: 1655.15', 'Phase: Solid', 'Absolute_Melting_Point: 1050']"
Yttrium,"['Symbol: Y', 'Atomic_Number: 39', 'Atomic_Weight: 88.90585', 'Density: 4472', 'Melting_Point: 1799.15', 'Boiling_Point: 3618.15', 'Phase: Solid', 'Absolute_Melting_Point: 1799']"
Zirconium,"['Symbol: Zr', 'Atomic_Number: 40', 'Atomic_Weight: 91.224', 'Density: 6511', 'Melting_Point: 2128.15', 'Boiling_Point: 4682.15', 'Phase: Solid', 'Absolute_Melting_Point: 2128']"
Niobium,"['Symbol: Nb', 'Atomic_Number: 41', 'Atomic_Weight: 92.90638', 'Density: 8570', 'Melting_Point: 2750.15', 'Boiling_Point: 5017.15', 'Phase: Solid', 'Absolute_Melting_Point: 2750']"
Molybdenum,"['Symbol: Mo', 'Atomic_Number: 42', 'Atomic_Weight: 95.94', 'Density: 10280', 'Melting_Point: 2896.15', 'Boiling_Point: 4912.15', 'Phase: Solid', 'Absolute_Melting_Point: 2896']"
Technetium,"['Symbol: Tc', 'Atomic_Number: 43', 'Atomic_Weight: 98', 'Density: 11500', 'Melting_Point: 2430.15', 'Boiling_Point: 4538.15', 'Phase: Solid', 'Absolute_Melting_Point: 2430']"
Ruthenium,"['Symbol: Ru', 'Atomic_Number: 44', 'Atomic_Weight: 101.07', 'Density: 12370', 'Melting_Point: 2607.15', 'Boiling_Point: 4423.15', 'Phase: Solid', 'Absolute_Melting_Point: 2607']"
Rhodium,"['Symbol: Rh', 'Atomic_Number: 45', 'Atomic_Weight: 102.9055', 'Density: 12450', 'Melting_Point: 2237.15', 'Boiling_Point: 3968.15', 'Phase: Solid', 'Absolute_Melting_Point: 2237']"
Palladium,"['Symbol: Pd', 'Atomic_Number: 46', 'Atomic_Weight: 106.42', 'Density: 12023', 'Melting_Point: 1828.05', 'Boiling_Point: 3236.15', 'Phase: Solid', 'Absolute_Melting_Point: 1828.05']"
Silver,"['Symbol: Ag', 'Atomic_Number: 47', 'Atomic_Weight: 107.8682', 'Density: 10490', 'Melting_Point: 1234.93', 'Boiling_Point: 2435.15', 'Phase: Solid', 'Absolute_Melting_Point: 1234.93']"
Cadmium,"['Symbol: Cd', 'Atomic_Number: 48', 'Atomic_Weight: 112.411', 'Density: 8650', 'Melting_Point: 594.22', 'Boiling_Point: 1040.15', 'Phase: Solid', 'Absolute_Melting_Point: 594.22']"
Indium,"['Symbol: In', 'Atomic_Number: 49', 'Atomic_Weight: 114.818', 'Density: 7310', 'Melting_Point: 429.75', 'Boiling_Point: 2345.15', 'Phase: Solid', 'Absolute_Melting_Point: 429.75']"
Tin,"['Symbol: Sn', 'Atomic_Number: 50', 'Atomic_Weight: 118.71', 'Density: 7310', 'Melting_Point: 505.08', 'Boiling_Point: 2875.15', 'Phase: Solid', 'Absolute_Melting_Point: 505.08']"
Antimony,"['Symbol: Sb', 'Atomic_Number: 51', 'Atomic_Weight: 121.76', 'Density: 6697', 'Melting_Point: 903.78', 'Boiling_Point: 1860.15', 'Phase: Solid', 'Absolute_Melting_Point: 903.78']"
Tellurium,"['Symbol: Te', 'Atomic_Number: 52', 'Atomic_Weight: 127.6', 'Density: 6240', 'Melting_Point: 722.66', 'Boiling_Point: 1261.15', 'Phase: Solid', 'Absolute_Melting_Point: 722.66']"
Iodine,"['Symbol: I', 'Atomic_Number: 53', 'Atomic_Weight: 126.90447', 'Density: 4940', 'Melting_Point: 386.85', 'Boiling_Point: 457.45', 'Phase: Solid', 'Absolute_Melting_Point: 386.85']"
Xenon,"['Symbol: Xe', 'Atomic_Number: 54', 'Atomic_Weight: 131.293', 'Density: 5.9', 'Melting_Point: 161.35', 'Boiling_Point: 165.15', 'Phase: Gas', 'Absolute_Melting_Point: 161.3']"
Cesium,"['Symbol: Cs', 'Atomic_Number: 55', 'Atomic_Weight: 132.90545', 'Density: 1879', 'Melting_Point: 301.59', 'Boiling_Point: 944.15', 'Phase: Solid', 'Absolute_Melting_Point: 301.59']"
Barium,"['Symbol: Ba', 'Atomic_Number: 56', 'Atomic_Weight: 137.327', 'Density: 3510', 'Melting_Point: 1000.15', 'Boiling_Point: 2143.15', 'Phase: Solid', 'Absolute_Melting_Point: 1000']"
Lanthanum,"['Symbol: La', 'Atomic_Number: 57', 'Atomic_Weight: 138.9055', 'Density: 6146', 'Melting_Point: 1193.15', 'Boiling_Point: 3737.15', 'Phase: Solid', 'Absolute_Melting_Point: 1193']"
Cerium,"['Symbol: Ce', 'Atomic_Number: 58', 'Atomic_Weight: 140.116', 'Density: 6689', 'Melting_Point: 1071.15', 'Boiling_Point: 3633.15', 'Phase: Solid', 'Absolute_Melting_Point: 1071']"
Praseodymium,"['Symbol: Pr', 'Atomic_Number: 59', 'Atomic_Weight: 140.90765', 'Density: 6640', 'Melting_Point: 1204.15', 'Boiling_Point: 3563.15', 'Phase: Solid', 'Absolute_Melting_Point: 1204']"
Neodymium,"['Symbol: Nd', 'Atomic_Number: 60', 'Atomic_Weight: 144.24', 'Density: 7010', 'Melting_Point: 1294.15', 'Boiling_Point: 3373.15', 'Phase: Solid', 'Absolute_Melting_Point: 1294']"
Promethium,"['Symbol: Pm', 'Atomic_Number: 61', 'Atomic_Weight: 145', 'Density: 7264', 'Melting_Point: 1373.15', 'Boiling_Point: 3273.15', 'Phase: Solid', 'Absolute_Melting_Point: 1373']"
Samarium,"['Symbol: Sm', 'Atomic_Number: 62', 'Atomic_Weight: 150.36', 'Density: 7353', 'Melting_Point: 1345.15', 'Boiling_Point: 2076.15', 'Phase: Solid', 'Absolute_Melting_Point: 1345']"
Europium,"['Symbol: Eu', 'Atomic_Number: 63', 'Atomic_Weight: 151.964', 'Density: 5244', 'Melting_Point: 1095.15', 'Boiling_Point: 1800.15', 'Phase: Solid', 'Absolute_Melting_Point: 1095']"
Gadolinium,"['Symbol: Gd', 'Atomic_Number: 64', 'Atomic_Weight: 157.25', 'Density: 7901', 'Melting_Point: 1586.15', 'Boiling_Point: 3523.15', 'Phase: Solid', 'Absolute_Melting_Point: 1586']"
Terbium,"['Symbol: Tb', 'Atomic_Number: 65', 'Atomic_Weight: 158.92534', 'Density: 8219', 'Melting_Point: 1629.15', 'Boiling_Point: 3503.15', 'Phase: Solid', 'Absolute_Melting_Point: 1629']"
Dysprosium,"['Symbol: Dy', 'Atomic_Number: 66', 'Atomic_Weight: 162.5', 'Density: 8551', 'Melting_Point: 1685.15', 'Boiling_Point: 2840.15', 'Phase: Solid', 'Absolute_Melting_Point: 1685']"
Holmium,"['Symbol: Ho', 'Atomic_Number: 67', 'Atomic_Weight: 164.93032', 'Density: 8795', 'Melting_Point: 1747.15', 'Boiling_Point: 2973.15', 'Phase: Solid', 'Absolute_Melting_Point: 1747']"
Erbium,"['Symbol: Er', 'Atomic_Number: 68', 'Atomic_Weight: 167.259', 'Density: 9066', 'Melting_Point: 1770.15', 'Boiling_Point: 3141.15', 'Phase: Solid', 'Absolute_Melting_Point: 1770']"
Thulium,"['Symbol: Tm', 'Atomic_Number: 69', 'Atomic_Weight: 168.93421', 'Density: 9321', 'Melting_Point: 1818.15', 'Boiling_Point: 2223.15', 'Phase: Solid', 'Absolute_Melting_Point: 1818']"
Ytterbium,"['Symbol: Yb', 'Atomic_Number: 70', 'Atomic_Weight: 173.04', 'Density: 6570', 'Melting_Point: 1092.15', 'Boiling_Point: 1469.15', 'Phase: Solid', 'Absolute_Melting_Point: 1092']"
Lutetium,"['Symbol: Lu', 'Atomic_Number: 71', 'Atomic_Weight: 174.967', 'Density: 9841', 'Melting_Point: 1936.15', 'Boiling_Point: 3675.15', 'Phase: Solid', 'Absolute_Melting_Point: 1936']"
Hafnium,"['Symbol: Hf', 'Atomic_Number: 72', 'Atomic_Weight: 178.49', 'Density: 13310', 'Melting_Point: 2506.15', 'Boiling_Point: 4876.15', 'Phase: Solid', 'Absolute_Melting_Point: 2506']"
Tantalum,"['Symbol: Ta', 'Atomic_Number: 73', 'Atomic_Weight: 180.9479', 'Density: 16650', 'Melting_Point: 3290.15', 'Boiling_Point: 5731.15', 'Phase: Solid', 'Absolute_Melting_Point: 3290']"
Tungsten,"['Symbol: W', 'Atomic_Number: 74', 'Atomic_Weight: 183.84', 'Density: 19250', 'Melting_Point: 3695.15', 'Boiling_Point: 5828.15', 'Phase: Solid', 'Absolute_Melting_Point: 3695']"
Rhenium,"['Symbol: Re', 'Atomic_Number: 75', 'Atomic_Weight: 186.207', 'Density: 21020', 'Melting_Point: 3459.15', 'Boiling_Point: 5869.15', 'Phase: Solid', 'Absolute_Melting_Point: 3459']"
Osmium,"['Symbol: Os', 'Atomic_Number: 76', 'Atomic_Weight: 190.23', 'Density: 22610', 'Melting_Point: 3306.15', 'Boiling_Point: 5285.15', 'Phase: Solid', 'Absolute_Melting_Point: 3306']"
Iridium,"['Symbol: Ir', 'Atomic_Number: 77', 'Atomic_Weight: 192.217', 'Density: 22650', 'Melting_Point: 2739.15', 'Boiling_Point: 4701.15', 'Phase: Solid', 'Absolute_Melting_Point: 2739']"
Platinum,"['Symbol: Pt', 'Atomic_Number: 78', 'Atomic_Weight: 195.078', 'Density: 21090', 'Melting_Point: 2041.45', 'Boiling_Point: 4098.15', 'Phase: Solid', 'Absolute_Melting_Point: 2041.4']"
Gold,"['Symbol: Au', 'Atomic_Number: 79', 'Atomic_Weight: 196.96655', 'Density: 19300', 'Melting_Point: 1337.33', 'Boiling_Point: 3129.15', 'Phase: Solid', 'Absolute_Melting_Point: 1337.33']"
Mercury,"['Symbol: Hg', 'Atomic_Number: 80', 'Atomic_Weight: 200.59', 'Density: 13534', 'Melting_Point: 234.32', 'Boiling_Point: 629.88', 'Phase: Liquid', 'Absolute_Melting_Point: 234.32']"
Thallium,"['Symbol: Tl', 'Atomic_Number: 81', 'Atomic_Weight: 204.3833', 'Density: 11850', 'Melting_Point: 577.15', 'Boiling_Point: 1746.15', 'Phase: Solid', 'Absolute_Melting_Point: 577']"
Lead,"['Symbol: Pb', 'Atomic_Number: 82', 'Atomic_Weight: 207.2', 'Density: 11340', 'Melting_Point: 600.61', 'Boiling_Point: 2022.15', 'Phase: Solid', 'Absolute_Melting_Point: 600.61']"
Bismuth,"['Symbol: Bi', 'Atomic_Number: 83', 'Atomic_Weight: 208.98038', 'Density: 9780', 'Melting_Point: 544.45', 'Boiling_Point: 1837.15', 'Phase: Solid', 'Absolute_Melting_Point: 544.4']"
Polonium,"['Symbol: Po', 'Atomic_Number: 84', 'Atomic_Weight: 209', 'Density: 9196', 'Melting_Point: 527.15', 'Boiling_Point: 1235.15', 'Phase: Solid', 'Absolute_Melting_Point: 527']"
Astatine,"['Symbol: At', 'Atomic_Number: 85', 'Atomic_Weight: 210', 'Density: ', 'Melting_Point: 575.15', 'Boiling_Point: ', 'Phase: Solid', 'Absolute_Melting_Point: 575']"
Radon,"['Symbol: Rn', 'Atomic_Number: 86', 'Atomic_Weight: 222', 'Density: 9.73', 'Melting_Point: 202.15', 'Boiling_Point: 211.45', 'Phase: Gas', 'Absolute_Melting_Point: 202']"
Francium,"['Symbol: Fr', 'Atomic_Number: 87', 'Atomic_Weight: 223', 'Density: ', 'Melting_Point: ', 'Boiling_Point: ', 'Phase: Solid', 'Absolute_Melting_Point: ']"
Radium,"['Symbol: Ra', 'Atomic_Number: 88', 'Atomic_Weight: 226', 'Density: 5000', 'Melting_Point: 973.15', 'Boiling_Point: 2010.15', 'Phase: Solid', 'Absolute_Melting_Point: 973']"
Actinium,"['Symbol: Ac', 'Atomic_Number: 89', 'Atomic_Weight: 227', 'Density: 10070', 'Melting_Point: 1323.15', 'Boiling_Point: 3473.15', 'Phase: Solid', 'Absolute_Melting_Point: 1323']"
Thorium,"['Symbol: Th', 'Atomic_Number: 90', 'Atomic_Weight: 232.0381', 'Density: 11724', 'Melting_Point: 2023.15', 'Boiling_Point: 5093.15', 'Phase: Solid', 'Absolute_Melting_Point: 2023']"
